Player Name,fpts,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,value
Trevor Siemian MIN,3,9.3,5.9,62.1,0,0,1,4.5,0,0,
Austin Davis SEA,2.9,10.9,6.2,67.9,0,0,0.7,1.1,0,0,
Brett Hundley GB,1.4,2.9,1.8,19.5,0.2,0.1,0.1,0.4,0,0,
Kevin Hogan WAS,1,2,2,19,0,0,0,2,0,0,
Matt Cassel DET,0.8,3,1.9,17.5,0.1,0.1,0.1,0.2,0,0,
Robert Griffin BAL,0.7,2,1,10,0,0,1,3,0,0,
Mason Rudolph PIT,0.6,1.5,0.9,11,0.1,0.1,0.1,0.2,0,0,
Mike White DAL,0.5,1.3,0.8,10.2,0.1,0.1,0.1,0.2,0,0,
Mike Glennon ARI,0.5,2,1,13,0,0,0,0,0,0,
Nathan Peterman BUF,0.2,1,0,4,0,0,0,0,0,0,
Logan Woodside CIN,0.1,0,0,2,0,0,0,0,0,0,
Luke Falk TEN,0.1,0,0,2,0,0,0,0,0,0,
Kyle Lauletta NYG,0.1,0,0,2,0,0,0,0,0,0,
Tanner Lee JAC,0.1,0,0,2,0,0,0,0,0,0,
Danny Etling NE,0.1,0,0,2,0,0,0,0,0,0,
Alex McGough SEA,0.1,0,0,2,0,0,0,0,0,0,
Jameill Showers DAL,0,0,0,0,0,0,0,0,0,0,
