Player Name,fpts,ATT,YDS,TDS,REC,YDS,TDS,FL,value
Jaron Brown SEA,69.5,0,0,0,33.6,475.2,3.8,0.3,
Brandon LaFell CIN,69.1,0,0,0,46.4,518.8,3,0.4,
Jordan Matthews NE,68.3,0,0,0,43.4,523.2,3.2,1.7,
Christian Kirk ARI,67.3,0,0,0,42.1,513.3,2.9,0.6,
Terrelle Pryor NYJ,67.3,1,6,0.1,43.1,522.1,2.5,0.4,
Danny Amendola MIA,65.7,1.9,11.4,0.1,47.5,504.6,2.5,0.5,
Cole Beasley DAL,63,0,0,0,43.9,444.4,3.2,0.3,
Adam Humphries TB,62.5,1.5,8.4,0,47.1,494.2,2.4,1,
Malcolm Mitchell NE,61.8,0,0,0,34,423,3.4,0.3,
Chester Rogers IND,61.2,3.4,15.7,0.1,34,451.3,2.5,0.3,
Taylor Gabriel CHI,60,3.8,23,0.1,35.9,454,2.1,0.3,
James Washington PIT,59.8,0,0,0,32.6,434.3,2.9,0.5,
Kendall Wright MIN,59.8,0,0,0,43.9,481.8,2,0.3,
Anthony Miller CHI,57.8,0,0,0,34.5,446,2.4,0.6,
Trent Taylor SF,56.9,0,0,0,40,450.8,2.7,2.2,
Willie Snead BAL,56.9,0,0,0,40.5,458.8,2.2,1,
Chris Godwin TB,56.9,0,0,0,32.2,460.6,1.9,0.4,
Corey Coleman CLE,56.8,0,0,0,31.6,410,2.8,0.4,
Mike Williams LAC,55.2,0,0,0,32.5,408.1,2.5,0.3,
Keelan Cole JAC,55.1,0,0,0,27.2,438.6,2.3,1.3,
Geronimo Allison GB,54.3,0,0,0,34.6,414.9,2.8,2,
Taywan Taylor TEN,53.2,6.1,35.6,0.1,28.6,378.4,2,0.3,
John Ross CIN,51.8,5.3,33.6,0.1,29,362.7,2.3,1,
TJ Jones DET,50.4,0,0,0,30,390,2,0.4,
Courtland Sutton DEN,48.4,0,0,0,28.7,368.2,2.2,0.8,
Bruce Ellington HOU,48.1,3,17,0,33,360.5,1.9,0.4,
Michael Gallup DAL,47.4,0,0,0,27.6,347.9,2.3,0.6,
Laquon Treadwell MIN,45.2,0,0,0,29.5,337.5,2,0.3,
Curtis Samuel CAR,44.1,8.2,50.3,0.2,26.2,287.7,1.7,0.3,
Brice Butler ARI,43.9,0,0,0,20.6,327.5,2,0.3,
Chad Williams ARI,42,2.9,17.6,0.1,26.4,315.4,1.5,0.4,
Torrey Smith CAR,38.5,0.5,2,0,23.5,295.2,1.6,0.3,
Dante Pettis SF,38.4,0,0,0,23.2,297.9,1.7,0.7,
Demarcus Robinson KC,38,0,0,0,26.5,279,1.8,0.2,
Seth Roberts OAK,37.5,0,0,0,28.5,291,1.8,1.2,
D.J. Chark JAC,37.5,0,0,0,21.1,284.7,1.7,0.6,
Braxton Miller HOU,37.5,1.7,9,0.1,25.6,262.6,1.8,0.4,
Brandon Coleman NO,37.2,0,0,0,23,299.5,2,2.4,
Tavon Austin DAL,36.7,28.9,142.8,1,17.5,168.7,0.8,2.7,
Aldrick Robinson SF,36.2,0,0,0,21,274,1.6,0.4,
Justin Hardy ATL,35.1,0,0,0,20,231.5,2.1,0.2,
Chris Moore BAL,33.7,2.7,15.4,0.1,19.9,226.4,1.6,0.2,
Roger Lewis NYG,32.9,0,0,0,21,248.8,1.5,0.4,
Kevin White CHI,32.8,0,0,0,25,267,1.2,0.4,
Chris Conley KC,32.6,0,0,0,20.8,258.4,1.2,0.2,
Andre Holmes BUF,32.6,0,0,0,18.3,211.6,2,0.2,
Carlos Henderson DEN,32.1,0,0,0,19.5,238.7,1.4,0.1,
Cordarrelle Patterson NE,30.7,15.1,111.8,1.3,8.7,93.9,0.5,0.1,
Josh Reynolds LAR,29.8,3.1,19.2,0.1,16.4,195.2,1.5,0.5,
Bennie Fowler CHI,29.8,0,0,0,17.5,223,1.4,0.3,
Alex Erickson CIN,28.9,0,0,0,21,255,1.1,1.6,
Jeremy Kerley BUF,28.8,0,0,0,28,270.5,1,2,
Mack Hollins PHI,28.2,0,0,0,16.6,214.1,1.3,0.4,
Brian Quick WAS,27,0,0,0,17.5,234.5,0.8,0.5,
J'Mon Moore GB,26.8,0,0,0,15.9,190.6,1.5,0.5,
Amara Darboh SEA,26,0,0,0,16.6,188.5,1.2,0.1,
Tyler Boyd CIN,25.2,0,0,0,19.5,202,1,0.5,
Deonte Thompson DAL,24.2,2,8,0,12.5,179,1,0.1,
De'Anthony Thomas KC,23.5,2,8,0,15,174,1,0.2,
Travis Rudolph NYG,23.4,0,0,0,13.5,173,1.1,0.1,
Cody Latimer NYG,23,0,0,0,15.3,185.6,0.9,0.4,
Jakeem Grant MIA,21,2.5,11.9,0,14.7,186.3,1,2.3,
Trevor Davis GB,20.3,2,10,0,10,132.5,1.1,0.3,
Kenny Britt NE,20.2,0,0,0,9,126,1.3,0.1,
Tajae Sharpe TEN,20.1,0,0,0,13.5,160.5,0.7,0.1,
DaeSean Hamilton DEN,20,0,0,0,12.5,159,1,0.8,
Tavarres King MIN,19.5,1,4,0,10.5,139,0.9,0.1,
Breshad Perriman BAL,19.3,0,0,0,13,145.5,0.9,0.2,
ArDarius Stewart NYJ,19.1,2,8,0,11.5,155,0.5,0.1,
Josh Bellamy CHI,18.1,1,6,0,10,135,0.7,0.1,
Hunter Sharp NYG,17.6,0,0,0,7,76,1.7,0.1,
Keke Coutee HOU,15.3,0,0,0,10.8,135.2,0.5,0.7,
Daurice Fountain IND,15.3,0,0,0,9,113.5,0.7,0,
Darrius Heyward-Bey PIT,15.2,2,12,1,5,75.5,0.1,0.1,
Pharoh Cooper LAR,15.2,0,0,0,12.5,160.5,0.8,2.7,
Antonio Callaway CLE,15.1,0,0,0,10.5,140,0.5,0.8,
Rashard Higgins CLE,14.8,0,0,0,8.5,100,0.9,0.3,
Jordan Lasley BAL,14,0,0,0,11,112,0.6,0.4,
Ryan Switzer OAK,13.2,1,4,0,8.9,99.6,0.6,0.5,
Damiere Byrd CAR,12.9,0,0,0,6,71,1,0.1,
Phillip Dorsett NE,12.5,1,7,0,8,118,0,0,
