Player Name,REC,YDS,TDS,ATT,YDS,TDS,FL,fpts
Tre'Quan Smith NO,33.3,477.4,3.4,0.4,1.7,0,0.1,68.3
Willie Snead BAL,47.7,533.3,2.5,0.7,4.6,0,0.5,67.7
Cole Beasley BUF,46.6,526.3,2.6,0,0,0,0.4,67.6
Rashard Higgins CLE,36.7,492.1,3.1,0.1,0.7,0,0.4,67
A.J. Brown TEN,38.3,496.6,2.7,0.7,4,0,0.4,65.4
Randall Cobb DAL,45.5,490.3,2.6,2.5,10.1,0,0.4,65.1
Nelson Agholor PHI,36.4,444.4,3,3.1,23,0.1,0.4,64.1
Trey Quinn WAS,41.9,467,2.6,1.3,7.3,0,0.1,62.9
Breshad Perriman TB,29.2,474.4,2.5,2.3,6.4,0,0.1,62.9
John Ross CIN,28.9,333.8,3.7,2.9,11.4,0,0.1,56.5
Andy Isabella ARI,31.6,399.9,2.5,1.3,8.1,0,0.1,55.8
Mecole Hardman KC,23.9,348,2.5,4.8,30.4,0.3,0.4,53.9
Travis Benjamin LAC,23.8,365.6,2,6.6,41.9,0.3,0.4,53.8
Miles Boykin BAL,27.1,389.6,2.5,1,4.7,0,0.4,53.5
Chris Conley JAC,31.6,402.3,2.3,0,0,0,0.2,53.3
Demarcus Robinson KC,26.3,359.2,2.6,0,0,0,0,51.3
D.J. Chark JAC,33.5,419.3,1.7,0,0,0,1.4,49.4
Cody Latimer NYG,23.3,364,2.2,0,0,0,0.4,48.6
Antonio Callaway CLE,24.5,332.2,2.5,1,3.9,0,0.4,47.7
Hunter Renfrow OAK,32.7,358.7,1.8,0,0,0,0.1,46.7
Chris Hogan CAR,23.7,330.2,2,0.4,2.2,0,0,45.2
Terry McLaurin WAS,26.8,334.5,1.8,0,0,0,0.1,44.1
Josh Reynolds LAR,19.6,264.9,2.2,2.2,14,0,0,41.1
Keelan Cole JAC,23.1,302.6,1.6,0,0,0,0.1,39.6
Laquon Treadwell MIN,28.2,290.4,1.8,0,0,0,0,39.6
Equanimeous St. Brown GB,20.5,268.8,1.5,0.1,0.9,0,0,36.1
KeeSean Johnson ARI,20.9,270.6,1.5,0,0,0,0.1,36
Hakeem Butler ARI,19.1,255.8,1.7,0,0,0,0.1,35.9
J.J. Arcega-Whiteside PHI,19.7,257.6,1.6,0,0,0,0.1,35.4
Tim Patrick DEN,20.1,280.8,1.1,2,7,0,0.1,35.3
Phillip Dorsett NE,19.3,236.8,1.7,1.7,11,0,0,35.2
Chester Rogers IND,20.9,248.7,1.6,0.8,5,0,0,35.1
Jaron Brown SEA,15.7,212.3,2.2,0.2,2.4,0,0,35
Keith Kirkwood NO,18.2,247,1.6,0,0,0,0,34.5
Jarius Wright CAR,22.3,258.9,1.3,1.5,10.6,0,0.2,34.4
Chad Beebe MIN,22.1,237.4,1.7,0,0,0,0.1,33.7
Jakeem Grant MIA,19.3,256.4,1.2,0.3,0.8,0,0.1,33
Demaryius Thomas NE,18.3,226.2,1.6,0,0,0,0,31.9
Cordarrelle Patterson CHI,12.9,150.2,0.9,12.6,76,0.6,0.1,31.5
Ryan Switzer PIT,21.6,222.5,1.1,2.5,14.3,0.2,0.1,30.8
Taywan Taylor TEN,18.1,226.6,1.1,0.8,4.9,0,0.3,29.1
Seth Roberts BAL,16.7,214.9,1.2,0.1,1,0,0,28.9
Bennie Fowler NYG,14,210.5,1.3,0,0,0,0,28.5
Marcell Ateman OAK,16.5,218.5,1.1,0,0,0,0.1,28.3
Jalen Hurd SF,13.7,169.7,1,6.5,39.7,0.3,0.1,28.3
Chris Moore BAL,15.2,202.7,0.8,2,11,0,0.1,26.5
Kendrick Bourne SF,15,201.9,1,0.1,0.2,0,0,26.3
Eli Rogers PIT,18.3,201.1,0.9,1.3,6.3,0,0,26.2
Justin Watson TB,15.5,199.6,1,0,0,0,0.1,25.9
Darius Slayton NYG,13.6,196,1,0,0,0,0.1,25.6
Justin Hardy ATL,15.6,182.9,1.2,0,0,0,0,25.3
Tavon Austin DAL,11.4,139.2,0.6,11.2,66,0.1,0.1,24.8
Ryan Grant OAK,16.4,194.8,0.8,0,0,0,0,24.2
Gary Jennings SEA,13.6,172.9,1.1,0,0,0,0.1,23.9
Diontae Johnson PIT,14.4,194.6,0.7,0,0,0,0.1,23.4
Trent Taylor SF,15.7,178.6,0.9,0,0,0,0.1,22.9
Jordan Taylor MIN,15.4,178.7,0.8,0,0,0,0.1,22.7
J.J. Nelson OAK,12.3,162.2,0.7,1.3,7.6,0,0.1,21.5
Preston Williams MIA,13.4,173.3,0.6,0,0,0,0.1,20.9
Jaelen Strong CLE,7.5,134.8,1.2,0,0,0,0,20.6
Amara Darboh SEA,12.2,140.8,0.9,0,0,0,0,19.7
Tajae Sharpe TEN,11.3,146.8,0.7,0.1,0.3,0,0,18.9
Isaiah McKenzie BUF,9.3,118.1,0.7,3.5,25.2,0.1,0.1,18.7
TJ Jones NYG,11.6,141.1,0.7,0,0,0,0,18.6
Jake Kumerow GB,10.2,131.3,0.9,0,0,0,0,18.4
Allen Hurns MIA,9.8,134.5,0.8,0,0,0,0.1,18.2
Deon Cain IND,10.7,128.6,0.8,0,0,0,0.1,17.8
Torrey Smith CAR,9.5,148.4,0.5,0.1,1,0,0,17.8
Bobo Wilson TB,11.3,135.2,0.6,0.3,2.5,0,0,17.6
Alex Erickson CIN,10.6,127.4,0.6,0.9,5,0,0,17.1
Zach Pascal IND,9.4,125.3,0.7,0.1,0.2,0,0,16.8
