Player Name,fpts,REC,YDS,TDS,FL,value
Bucky Hodges NYJ,4.6,4,34,0.2,0,
Jeremy Sprinkle WAS,4.6,3.5,33,0.3,0.1,
Blake Bell MIN,4.6,4,48,0,0.1,
Phillip Supernaw TEN,4.6,3,32.5,0.3,0.1,
Khari Lee BUF,4.3,4,31,0.2,0,
Daniel Brown CHI,4.3,4,39,0.1,0.1,
Alan Cross TB,4.2,4,42,0,0,
Ross Travis IND,3.4,3,36,0,0.1,
Derek Carrier OAK,3.4,4.5,36,0,0.1,
Darrell Daniels IND,3.2,3,28,0.1,0.1,
Jacob Hollister NE,1.8,2,20,0,0.1,
Ryan Hewitt CIN,1.7,2,19,0,0.1,
Ben Braunecker CHI,0.6,1,8,0,0.1,
