Player Name,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Matt Breida,BUF,43.6,189.2,1,9.6,76.3,0.4,1.1,32.6
Carlos Hyde,JAC,52.6,213.6,1.4,6.3,36.6,0.1,0.6,32.5
Brandon Bolden,NE,19.4,98.7,2.3,4.9,48.9,0.6,0,32.2
Jalen Richard,LV,20.2,88.5,0.3,18.7,146.4,0.6,0.2,28.6
Jermar Jefferson,DET,27.9,113.8,0.8,10.6,78.6,0.1,0.1,24.6
Raymond Calais,LAR,29.2,123,1.1,4.6,35.4,0.2,0.1,23.8
Elijah Mitchell,SF,26.9,124.7,0.8,5.8,52,0.2,0.1,23.4
La'Mical Perine,NYJ,32.4,136.7,1,4.3,31.4,0.2,0.2,23.1
Johnny Stanton,CLE,20,100,1,9,70,0,0,23
Jaylen Samuels,PIT,26.4,110.6,0.6,7.8,51.9,0.3,0.1,21.9
Anthony McFarland Jr.,PIT,30.2,115.8,0.5,5.7,45.1,0.1,0.6,18.7
Jerick McKinnon,KC,21.5,95.1,0.4,6.7,48.2,0.2,0.1,18.1
Chris Evans,CIN,24.8,98.4,0.5,4.5,33.8,0.2,0.2,16.5
Justice Hill,BAL,19.1,87.8,0.6,4.3,30.9,0.1,0.1,16
Eno Benjamin,ARI,21.9,93.7,0.6,3.4,27,0.1,0.1,15.6
Kylin Hill,GB,25.2,101.9,0.3,3.7,27.8,0.1,0.1,15.1
Kerryon Johnson,PHI,22.1,86,0.5,3.7,29.2,0.1,0.2,14.6
Dontrell Hilliard,HOU,12.3,44.5,1,4.9,36.2,0,0,14.1
Ameer Abdullah,MIN,15.4,68.7,0.1,6.3,44,0.4,0,14
Jeremy McNichols,TEN,19.4,87.4,0.3,3.6,22.8,0,0,13
Lamar Miller,WAS,14.9,61.5,0.8,2.4,18.9,0,0,13
Jordan Howard,PHI,14.9,64.4,1,0.4,4.6,0,0,12.9
Reggie Bonnafon,CAR,19.2,87.9,0.4,2.3,17.7,0,0,12.9
Trey Edmunds,PIT,14.8,64,0.4,3.9,25.8,0.2,0,12.3
JaMycal Hasty,SF,15.1,77.6,0.4,2.2,15.1,0.1,0,12.3
Travis Homer,SEA,16.3,68.8,0.3,4.1,30.4,0.1,0.1,12.2
Gerrid Doaks,MIA,12.2,51,0.4,4.4,32.7,0.1,0.1,11.6
Ke'Shawn Vaughn,TB,15,63.7,0.5,2.3,16.5,0.1,0,11.6
D'Ernest Johnson,CLE,18.2,78,0.4,2.3,16.9,0,0.1,11.5
Jordan Wilkins,IND,14.6,71.2,0.4,1.7,12.6,0.1,0,11.5
Gary Brightwell,NYG,20,88,0,3,22,0,0,11
Royce Freeman,DEN,14.3,59.9,0.4,3.2,20,0.1,0,10.8
D'Onta Foreman,ATL,16.8,70.6,0.4,1.4,10,0,0,10.7
Devonta Freeman,NO,9.1,37.1,0.3,4.2,33.8,0.2,0,10.2
J.J. Taylor,NE,13.9,59.1,0.4,1.9,14.9,0,0,10
