"Player Name","Team","FG","FGA","XPT","fpts"
"Zane Gonzalez","SF","29.8","35.8","41.0","130.4"
"Greg Joseph","MIN","28.2","33.7","40.5","125.2"
"Justin Tucker","BAL","27.8","31.7","40.9","124.3"
"Jason Myers","SEA","28.4","33.1","39.0","124.2"
"Harrison Butker","KC","24.9","29.3","49.5","124.1"
"Evan McPherson","CIN","26.6","31.7","43.2","123.1"
"Tyler Bass","BUF","26.5","32.0","43.5","123.0"
"Daniel Carlson","LV","29.0","33.7","35.7","122.7"
"Cameron Dicker","LAC","27.9","32.3","38.5","122.3"
"Jake Elliott","PHI","25.5","29.2","44.9","121.5"
"Younghoe Koo","ATL","28.7","33.6","34.1","120.3"
"Graham Gano","NYG","28.8","33.0","32.8","119.1"
"Riley Patterson","DET","25.9","31.3","40.8","118.6"
"Brandon McManus","JAC","28.0","34.0","34.1","118.2"
"Nick Folk","NE","27.8","31.7","34.6","118.0"
"Jason Sanders","MIA","27.4","33.2","35.2","117.4"
"Tristan Vizcaino","DAL","25.6","31.1","39.7","116.6"
"Cairo Santos","CHI","26.8","31.3","35.8","116.1"
"Dustin Hopkins","LAC","26.2","31.8","36.8","115.4"
"Jake Moody","SF","25.3","30.9","39.3","115.1"
"Chase McLaughlin","TB","26.8","31.4","34.7","115.1"
"Wil Lutz","NO","25.4","31.0","38.3","114.6"
"Eddy Pineiro","CAR","27.4","31.5","31.8","114.1"
"Greg Zuerlein","NYJ","27.1","34.9","32.2","113.5"
"Chris Boswell","PIT","26.8","32.6","32.9","113.4"
"Cade York","CLE","24.9","31.5","38.4","113.1"
"Matt Gay","IND","26.8","31.4","32.2","112.6"
"Matt Prater","ARI","25.8","31.0","34.1","111.5"
"Rodrigo Blankenship","TB","23.6","28.1","40.0","110.8"
"Ka'imi Fairbairn","HOU","26.8","31.3","30.2","110.5"
"Joey Slye","WAS","25.4","30.6","31.6","107.8"
"Brett Maher","DEN","24.0","29.1","26.0","98.0"
"Anders Carlson","GB","19.9","23.0","24.1","83.8"
"Elliott Fry","DEN","19.9","24.0","23.0","82.8"
"Caleb Shudak","TEN","20.3","24.1","21.8","82.5"
"Chad Ryland","NE","20.0","22.7","20.9","80.9"
"Tanner Brown","LAR","19.5","22.4","22.0","80.4"
"Michael Badgley","WAS","14.4","32.7","26.0","69.1"
