"Player Name","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","fpts"
"Philadelphia Eagles","","55.7","10.2","7.8","16.4","2.2","0.4","287.8","5,348.2","106.0"
"Dallas Cowboys","","47.6","12.1","10.2","20.6","2.3","0.0","295.6","5,666.7","105.8"
"New England Patriots","","46.6","12.4","7.7","14.3","2.4","0.1","291.2","5,683.5","101.5"
"Indianapolis Colts","","45.2","11.4","9.6","17.8","1.8","0.9","314.8","5,517.5","99.9"
"Pittsburgh Steelers","","51.4","12.3","7.1","12.3","1.6","0.1","287.7","5,585.9","99.6"
"Washington Commanders","","49.2","10.5","7.8","16.1","1.8","0.5","308.8","5,586.1","98.1"
"Cleveland Browns","","46.1","11.6","8.1","16.4","2.0","0.2","299.5","5,494.5","98.0"
"San Francisco 49ers","","48.5","10.9","8.2","17.5","1.9","0.0","255.0","5,404.6","98.0"
"New Orleans Saints","","48.5","11.6","7.3","13.8","1.8","0.2","274.5","5,167.2","97.7"
"Kansas City Chiefs","","47.0","10.3","8.0","14.6","2.1","0.5","298.4","5,600.5","96.9"
"Miami Dolphins","","46.6","11.1","7.9","15.7","1.8","0.5","306.2","5,537.5","96.7"
"Green Bay Packers","","43.3","12.8","7.3","14.1","1.9","0.5","302.7","5,839.1","95.9"
"Buffalo Bills","","43.8","12.2","7.9","15.0","1.6","0.6","264.4","5,490.5","94.7"
"Seattle Seahawks","","44.2","11.2","8.2","16.0","1.6","0.7","309.6","5,919.4","94.0"
"Houston Texans","","41.5","11.7","9.0","16.5","1.6","0.5","318.9","5,653.4","93.5"
"Los Angeles Chargers","","42.9","11.5","8.1","15.8","1.7","0.6","326.2","6,130.6","93.2"
"Minnesota Vikings","","43.4","11.3","8.2","16.1","1.7","0.2","342.1","6,045.3","93.1"
"Detroit Lions","","42.7","10.7","8.6","18.1","1.8","0.6","333.2","6,120.5","93.0"
"New York Jets","","45.2","10.6","6.6","14.6","1.8","1.0","288.1","5,320.2","92.5"
"Baltimore Ravens","","45.6","9.8","8.3","17.9","1.7","0.2","274.1","5,675.1","92.3"
"Tampa Bay Buccaneers","","44.1","9.5","9.3","19.1","1.7","0.1","309.8","5,610.5","92.0"
"Los Angeles Rams","","44.9","10.9","6.9","12.3","1.8","0.1","312.1","5,745.2","91.7"
"New York Giants","","41.4","10.2","8.5","17.4","1.6","0.5","314.2","5,944.7","89.0"
"Jacksonville Jaguars","","39.2","10.8","8.4","17.6","1.9","0.0","287.3","5,552.7","88.9"
"Tennessee Titans","","41.0","11.4","6.8","13.3","1.9","0.1","284.5","5,471.1","88.7"
"Cincinnati Bengals","","39.5","11.3","8.3","16.6","1.6","0.1","281.7","5,709.7","88.4"
"Denver Broncos","","41.5","11.6","7.1","15.5","1.5","0.1","296.2","5,541.9","87.9"
"Carolina Panthers","","40.0","9.8","8.1","14.4","1.9","0.3","301.9","5,474.1","87.9"
"Arizona Cardinals","","41.8","9.5","8.4","17.2","1.7","0.1","330.4","5,631.7","87.8"
"Atlanta Falcons","","32.8","11.6","8.2","17.2","1.8","0.6","307.9","5,805.8","84.3"
"Chicago Bears","","35.4","10.2","7.8","15.3","1.5","0.6","324.5","6,271.9","81.8"
"Las Vegas Raiders","","36.2","8.2","7.3","14.0","1.8","0.5","334.4","6,007.4","78.8"
