"Player Name","Team","rushing_attempts","rushing_yards","rushing_td","receptions","receiving_yards","receiving_td","fumble_lost","fpts"
"Latavius Murray","BUF","66.9","335.9","1.8","11.4","78.9","0.2","0.3","53.0"
"Zack Moss","IND","69.3","334.0","1.7","9.4","68.4","0.2","0.7","50.0"
"Jerome Ford","CLE","87.9","313.8","1.4","8.2","93.3","0.2","0.6","49.4"
"Keaontay Ingram","ARI","72.3","291.6","1.6","14.0","88.9","0.2","0.4","48.2"
"Eric Gray","NYG","70.7","298.5","1.0","13.0","95.3","0.5","0.7","47.1"
"J.J. Taylor","NE","4.5","245.9","1.8","10.1","80.8","0.4","0.4","45.3"
"Sony Michel","LAR","69.9","294.9","1.4","11.0","66.1","0.2","0.5","44.8"
"Matt Breida","NYG","62.3","277.7","1.2","11.3","98.1","0.2","1.0","43.8"
"Isaiah Spiller","LAC","76.0","280.0","0.9","9.4","88.2","0.3","0.3","43.4"
"Sean Tucker","TB","67.0","259.0","0.8","10.1","86.8","0.3","0.4","39.9"
"Zach Evans","LAR","61.9","216.1","1.1","8.8","91.1","0.4","0.6","38.9"
"JaMycal Hasty","JAC","41.8","200.7","1.1","13.5","104.3","0.4","0.5","38.4"
"Corey Clement","ARI","56.4","196.6","1.7","11.4","75.4","0.1","0.3","37.4"
"Kyren Williams","LAR","63.8","230.4","0.7","8.2","84.6","0.3","0.3","36.4"
"Jordan Mason","SF","63.3","274.4","0.9","2.7","37.7","0.1","0.5","36.1"
"Malik Davis","DAL","54.7","211.5","1.0","4.9","52.4","0.2","0.2","33.0"
"Deon Jackson","IND","53.0","143.8","0.7","19.8","115.4","0.7","1.3","31.9"
"Ameer Abdullah","LV","37.0","133.8","0.6","18.0","129.6","0.5","0.4","31.8"
"Hassan Haskins","TEN","50.3","177.8","0.5","11.4","86.7","0.3","0.3","30.7"
"Ty Montgomery","NE","40.5","115.2","0.5","15.6","105.1","0.6","0.0","28.8"
"Deuce Vaughn","DAL","52.1","198.0","0.5","4.0","62.0","0.0","0.2","28.6"
"Melvin Gordon III","BAL","68.1","228.8","0.1","7.0","59.1","0.2","1.0","28.5"
"DeWayne McBride","MIN","76.9","189.4","0.5","3.4","64.9","0.1","0.3","28.3"
"Ke'Shawn Vaughn","TB","48.0","187.3","1.1","5.7","35.4","0.2","0.7","28.3"
"Owen Wright","BAL","0.0","155.6","1.1","6.7","43.5","0.2","0.2","27.5"
"Chris Rodriguez Jr.","WAS","41.2","170.0","0.8","6.7","49.4","0.1","0.1","27.2"
"Boston Scott","PHI","35.6","163.2","1.2","3.6","41.9","0.1","0.6","27.0"
"DeeJay Dallas","SEA","15.6","117.1","0.5","11.0","93.4","0.3","0.0","25.5"
"Mohamed Ibrahim","DET","29.5","151.6","0.7","8.2","45.3","0.2","0.2","24.8"
"Raheem Blackshear","CAR","27.1","102.8","1.1","8.3","64.1","0.2","0.4","23.7"
"Sincere McCormick","LV","30.0","136.0","1.0","4.0","39.0","0.0","0.0","23.5"
"D'Ernest Johnson","JAC","36.7","149.6","0.5","4.6","44.0","0.1","0.0","22.6"
"Kenny McIntosh","SEA","39.0","146.9","0.5","4.0","49.1","0.0","0.2","22.3"
"Chris Evans","CIN","35.9","115.9","0.2","9.9","73.9","0.3","0.2","21.9"
"Kevin Harris","NE","45.9","152.3","0.5","2.1","34.2","0.0","0.2","21.7"
"Trayveon Williams","CIN","48.1","169.1","0.4","3.9","38.8","0.1","1.0","21.4"
"James Robinson","NYG","48.4","156.0","0.2","4.1","49.1","0.1","0.4","21.2"
"Patrick Taylor Jr.","GB","13.9","103.3","0.8","6.2","41.8","0.3","0.1","21.2"
"Anthony McFarland Jr.","PIT","11.0","115.6","0.6","9.5","49.2","0.2","0.2","20.7"
"Tyrion Davis-Price","SF","36.5","139.3","0.1","3.8","58.2","0.1","0.4","20.0"
