"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Joshua Palmer","LAC","3.1","34.8","0.1","0.0","0.1","0.0","0.0","5.8"
"Isaiah McKenzie","BUF","2.8","30.0","0.2","0.7","3.3","0.0","0.0","5.8"
"Romeo Doubs","GB","2.8","33.5","0.2","0.1","0.3","0.0","0.0","5.7"
"Terrace Marshall Jr.","CAR","2.5","36.3","0.1","0.0","0.1","0.0","0.0","5.7"
"Marquez Valdes-Scantling","KC","2.3","35.2","0.2","0.1","0.2","0.0","0.0","5.6"
"Elijah Moore","NYJ","2.4","33.4","0.1","0.3","1.8","0.0","0.0","5.5"
"Isaiah Hodgins","NYG","2.7","33.6","0.1","0.0","0.1","0.0","0.0","5.5"
"Alec Pierce","IND","2.6","33.3","0.1","0.1","0.3","0.0","0.0","5.4"
"Tyquan Thornton","NE","2.7","31.9","0.1","0.1","0.5","0.0","0.0","5.3"
"DeVante Parker","NE","2.4","31.7","0.1","0.0","0.0","0.0","0.0","5.2"
"Chase Claypool","CHI","2.2","30.0","0.1","0.1","1.7","0.0","0.0","5.2"
"Mecole Hardman","KC","2.2","25.1","0.2","0.4","4.0","0.0","0.0","5.1"
"Darius Slayton","NYG","2.2","32.2","0.1","0.0","0.0","0.0","0.0","5.1"
"Byron Pringle","CHI","2.4","30.5","0.1","0.0","0.0","0.0","0.0","5.0"
"Hunter Renfrow","LV","2.8","28.6","0.1","0.0","0.0","0.0","0.0","5.0"
"Kadarius Toney","KC","2.3","28.0","0.1","0.2","1.3","0.0","0.0","4.9"
"Randall Cobb","GB","2.2","29.5","0.1","0.0","0.0","0.0","0.0","4.9"
"Brandon Powell","LAR","2.4","23.7","0.1","1.2","5.6","0.0","0.0","4.8"
"Olamide Zaccheaus","ATL","2.2","30.3","0.1","0.2","1.1","0.0","0.0","4.8"
"Kendrick Bourne","NE","2.2","26.8","0.1","0.3","2.0","0.0","0.0","4.6"
"Laquon Treadwell","SEA","2.3","27.0","0.1","0.0","0.1","0.0","0.0","4.6"
"DeSean Jackson","BAL","2.0","28.6","0.1","0.0","0.2","0.0","0.0","4.4"
"Jauan Jennings","SF","2.1","26.6","0.1","0.0","0.0","0.0","0.0","4.4"
"Quez Watkins","PHI","2.1","25.6","0.1","0.1","0.5","0.0","0.0","4.3"
"Equanimeous St. Brown","CHI","1.8","27.3","0.1","0.2","1.5","0.0","0.0","4.3"
"Josh Reynolds","DET","2.0","26.1","0.1","0.0","0.0","0.0","0.0","4.3"
"Noah Brown","DAL","1.9","25.7","0.1","0.0","0.0","0.0","0.0","4.2"
"Phillip Dorsett II","HOU","2.0","25.4","0.1","0.0","0.1","0.0","0.0","4.1"
"Shi Smith","CAR","1.9","24.8","0.1","0.0","0.2","0.0","0.0","4.1"
"Laviska Shenault Jr.","CAR","1.9","19.8","0.1","0.6","4.2","0.0","0.0","4.1"
"Steven Sims Jr.","PIT","2.0","19.6","0.1","1.0","5.4","0.0","0.0","4.1"
"Julio Jones","TB","1.7","22.9","0.1","0.2","1.3","0.0","0.0","4.0"
"Nick Westbrook-Ikhine","TEN","1.7","23.5","0.1","0.0","0.1","0.0","0.0","3.9"
"Kendall Hinton","DEN","1.6","21.8","0.1","0.3","2.1","0.0","0.0","3.8"
"Trent Sherfield","MIA","1.8","23.0","0.1","0.0","0.0","0.0","0.0","3.8"
"Damiere Byrd","ATL","1.6","21.0","0.1","0.0","0.1","0.0","0.0","3.4"
"Marcus Johnson","NYG","1.5","21.1","0.1","0.0","0.1","0.0","0.0","3.3"
"Kenny Golladay","NYG","1.6","21.3","0.1","0.0","0.0","0.0","0.0","3.3"
"A.J. Green","ARI","1.6","19.9","0.1","0.0","0.1","0.0","0.0","3.2"
"Nelson Agholor","NE","1.6","20.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Kalif Raymond","DET","1.5","18.2","0.0","0.4","2.6","0.0","0.0","3.1"
"Jamal Agnew","JAC","1.3","12.5","0.1","1.1","5.7","0.0","0.0","3.1"
"Ray-Ray McCloud III","SF","1.3","17.1","0.0","0.7","3.5","0.0","0.0","3.0"
"Sammy Watkins","BAL","1.6","17.8","0.0","0.0","0.0","0.0","0.0","2.8"
"David Bell","CLE","1.5","15.8","0.1","0.0","0.1","0.0","0.0","2.7"
"Keith Kirkwood","NO","1.2","15.1","0.1","0.0","0.0","0.0","0.0","2.7"
"T.Y. Hilton","DAL","1.2","16.4","0.1","0.0","0.2","0.0","0.0","2.7"
"Jameson Williams","DET","1.0","15.5","0.1","0.2","1.2","0.0","0.0","2.6"
"Justin Watson","KC","1.1","15.5","0.1","0.0","0.0","0.0","0.0","2.6"
"Amari Rodgers","HOU","1.1","15.2","0.1","0.3","1.6","0.0","0.0","2.6"
"Dante Pettis","CHI","1.1","15.6","0.1","0.1","0.3","0.0","0.0","2.5"
"N'Keal Harry","CHI","1.0","13.4","0.1","0.0","0.0","0.0","0.0","2.3"
"Andre Baccellia","ARI","1.3","14.2","0.0","0.0","0.0","0.0","0.0","2.3"
"Robbie Anderson","ARI","1.2","14.6","0.0","0.0","0.0","0.0","0.0","2.3"
"Trenton Irwin","CIN","1.0","13.1","0.1","0.0","0.2","0.0","0.0","2.2"
"Velus Jones Jr.","CHI","0.7","8.7","0.1","0.7","4.1","0.0","0.0","2.0"
"Scotty Miller","TB","0.9","11.3","0.1","0.0","0.3","0.0","0.0","2.0"
"Tre'Quan Smith","NO","0.9","11.9","0.1","0.0","0.0","0.0","0.0","1.9"
"DeAndre Carter","LAC","1.0","10.2","0.1","0.2","0.8","0.0","0.0","1.9"
"Cole Beasley","BUF","1.1","10.8","0.1","0.0","0.0","0.0","0.0","1.9"
"Braxton Berrios","NYJ","0.8","9.2","0.1","0.3","2.2","0.0","0.0","1.9"
"Lance McCutcheon","LAR","0.8","10.9","0.1","0.0","0.1","0.0","0.0","1.9"
"Ashton Dulin","IND","0.8","9.8","0.1","0.3","1.3","0.0","0.0","1.8"
"River Cracraft","MIA","0.8","10.4","0.1","0.0","0.0","0.0","0.0","1.8"
"Skyy Moore","KC","0.8","8.9","0.1","0.1","1.1","0.0","0.0","1.8"
"Jalen Nailor","MIN","0.8","9.0","0.1","0.0","0.1","0.0","0.0","1.7"
"KhaDarel Hodge","ATL","0.7","9.2","0.1","0.0","0.0","0.0","0.0","1.7"
"Dareke Young","SEA","0.7","9.2","0.1","0.0","0.1","0.0","0.0","1.6"
"Freddie Swain","DEN","0.7","7.6","0.1","0.0","0.4","0.0","0.0","1.5"
"Denzel Mims","NYJ","0.6","9.3","0.1","0.0","0.0","0.0","0.0","1.5"
"Jalen Reagor","MIN","0.7","7.6","0.1","0.1","0.6","0.0","0.0","1.5"
"Khalil Shakir","BUF","0.7","8.2","0.0","0.0","0.1","0.0","0.0","1.4"
"Zach Pascal","PHI","0.6","7.2","0.1","0.0","0.1","0.0","0.0","1.3"
"Tylan Wallace","BAL","0.8","6.7","0.0","0.0","0.1","0.0","0.0","1.3"
"James Proche II","BAL","0.7","6.8","0.0","0.0","0.1","0.0","0.0","1.2"
"Cedrick Wilson Jr.","MIA","0.5","7.3","0.0","0.0","0.1","0.0","0.0","1.2"
"Keelan Cole Sr.","LV","0.5","5.9","0.1","0.0","0.1","0.0","0.0","1.2"
"Racey McMath","TEN","0.6","7.2","0.0","0.0","0.0","0.0","0.0","1.2"
"Cade Johnson","SEA","0.5","6.5","0.0","0.0","0.3","0.0","0.0","1.2"
"Samori Toure","GB","0.4","6.1","0.1","0.0","0.0","0.0","0.0","1.2"
"Gunner Olszewski","PIT","0.4","5.2","0.0","0.0","2.1","0.0","0.0","1.1"
"Cam Sims","WAS","0.5","6.6","0.0","0.0","0.1","0.0","0.0","1.1"
"Bo Melton","GB","0.5","6.3","0.0","0.0","0.4","0.0","0.0","1.1"
"Chris Conley","TEN","0.5","6.5","0.0","0.0","0.0","0.0","0.0","1.1"
"Austin Trammell","LAR","0.4","5.2","0.0","0.0","0.1","0.0","0.0","0.9"
"Michael Woods II","CLE","0.3","5.0","0.0","0.0","0.6","0.0","0.0","0.9"
"Dyami Brown","WAS","0.2","4.5","0.0","0.0","0.8","0.0","0.0","0.7"
"Kirk Merritt","NO","0.2","4.1","0.0","0.0","0.1","0.0","0.0","0.6"
"Trent Taylor","CIN","0.2","2.8","0.0","0.0","0.8","0.0","0.0","0.5"
"KaVontae Turpin","DAL","0.1","1.3","0.0","0.0","1.4","0.0","0.0","0.5"
"Montrell Washington","DEN","0.0","2.7","0.0","0.0","1.4","0.0","0.0","0.5"
"Matthew Slater","NE","0.1","3.5","0.0","0.0","0.1","0.0","0.0","0.5"
"Danny Gray","SF","0.1","2.7","0.0","0.0","0.1","0.0","0.0","0.4"
"Miles Boykin","PIT","0.1","2.7","0.0","0.0","0.1","0.0","0.0","0.4"
"Lawrence Cager","NYG","0.3","1.0","0.0","0.0","0.1","0.0","0.0","0.4"
"Stanley Morgan Jr.","CIN","0.2","2.0","0.0","0.0","0.1","0.0","0.0","0.4"
"Raleigh Webb","NE","0.0","2.7","0.0","0.0","0.1","0.0","0.0","0.3"
"Frank Darby","ATL","0.0","2.5","0.0","0.0","0.1","0.0","0.0","0.3"
"Britain Covey","PHI","0.1","2.1","0.0","0.0","0.2","0.0","0.0","0.3"
"Jaelon Darden","CLE","0.1","1.8","0.0","0.0","0.2","0.0","0.0","0.3"
"Mike Strachan","IND","0.1","2.0","0.0","0.0","0.1","0.0","0.0","0.3"
"Jalen Tolbert","DAL","0.1","1.3","0.0","0.0","0.1","0.0","0.0","0.2"
"Tim Jones","JAC","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
