"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Justin Jefferson","MIN","7.0","100.9","0.7","0.3","2.0","0.0","0.0","18.2"
"Ja'Marr Chase","CIN","6.3","84.8","0.7","0.3","2.1","0.0","0.0","16.1"
"Davante Adams","LV","6.1","82.4","0.7","0.1","0.4","0.0","0.0","15.2"
"CeeDee Lamb","DAL","5.8","79.8","0.6","0.5","2.8","0.0","0.0","15.0"
"Tyreek Hill","MIA","6.1","78.8","0.6","0.4","2.3","0.0","0.0","14.6"
"Amon-Ra St. Brown","DET","6.2","73.6","0.5","0.6","3.9","0.0","0.0","14.3"
"Stefon Diggs","BUF","5.8","73.5","0.6","0.0","0.1","0.0","0.0","14.0"
"A.J. Brown","PHI","4.9","75.7","0.6","0.1","0.2","0.0","0.0","13.9"
"DK Metcalf","SEA","5.5","71.1","0.6","0.0","0.1","0.0","0.0","13.3"
"Tee Higgins","CIN","5.0","69.0","0.6","0.0","0.1","0.0","0.0","12.9"
"Keenan Allen","LAC","6.3","68.3","0.5","0.0","0.3","0.0","0.0","12.7"
"Garrett Wilson","NYJ","5.1","68.3","0.5","0.2","1.1","0.0","0.0","12.7"
"DJ Moore","CAR","4.8","66.0","0.5","0.5","2.7","0.0","0.0","12.5"
"DeVonta Smith","PHI","4.9","65.5","0.6","0.0","0.1","0.0","0.0","12.4"
"Christian Kirk","JAC","5.0","63.8","0.5","0.2","1.0","0.0","0.0","12.2"
"Terry McLaurin","WAS","4.8","66.0","0.5","0.3","1.5","0.0","0.0","11.9"
"Amari Cooper","CLE","4.6","63.7","0.5","0.0","0.1","0.0","0.0","11.9"
"Chris Olave","NO","4.7","64.4","0.5","0.0","0.0","0.0","0.0","11.9"
"Chris Godwin","TB","5.4","63.2","0.5","0.1","0.7","0.0","0.0","11.9"
"Brandon Aiyuk","SF","4.6","60.0","0.6","0.2","1.1","0.0","0.0","11.8"
"Christian Watson","GB","4.3","58.4","0.6","0.3","2.3","0.0","0.0","11.7"
"Mike Williams","LAC","4.7","64.0","0.5","0.0","0.0","0.0","0.0","11.7"
"Jerry Jeudy","DEN","4.5","63.9","0.5","0.0","0.2","0.0","0.0","11.6"
"JuJu Smith-Schuster","KC","5.2","58.9","0.5","0.0","0.1","0.0","0.0","11.5"
"Mike Evans","TB","4.2","60.5","0.5","0.0","0.8","0.0","0.0","11.4"
"Michael Pittman Jr.","IND","5.1","57.4","0.4","0.1","1.0","0.0","0.0","11.0"
"Jakobi Meyers","NE","4.5","56.3","0.4","0.1","0.6","0.0","0.0","10.5"
"Jaylen Waddle","MIA","4.4","65.5","0.3","0.2","1.4","0.0","0.0","10.4"
"Drake London","ATL","4.7","61.6","0.3","0.0","0.0","0.0","0.0","10.0"
"Zay Jones","JAC","4.9","56.2","0.3","0.2","0.9","0.0","0.0","9.8"
"Brandin Cooks","HOU","4.0","51.0","0.4","0.1","1.1","0.0","0.0","9.8"
"Allen Lazard","GB","4.4","55.7","0.3","0.0","0.1","0.0","0.0","9.5"
"Marquise Brown","ARI","4.7","60.8","0.2","0.0","0.2","0.0","0.0","9.4"
"Diontae Johnson","PIT","4.9","55.8","0.2","0.3","2.0","0.0","0.0","9.3"
"Treylon Burks","TEN","3.5","48.5","0.4","0.4","2.0","0.0","0.0","9.2"
"Tyler Lockett","SEA","4.4","53.5","0.3","0.0","0.1","0.0","0.0","9.2"
"Deebo Samuel","SF","3.1","40.2","0.3","1.9","13.2","0.1","0.0","8.9"
"Rashid Shaheed","NO","3.7","51.6","0.2","0.4","2.2","0.0","0.0","8.6"
"Jahan Dotson","WAS","3.7","52.4","0.2","0.2","1.0","0.0","0.0","8.6"
"Courtland Sutton","DEN","4.2","52.8","0.2","0.0","0.1","0.0","0.0","8.5"
"Gabe Davis","BUF","3.2","50.0","0.3","0.0","0.1","0.0","0.0","8.4"
"Greg Dortch","ARI","4.2","45.2","0.1","0.7","4.4","0.0","0.0","7.7"
"Van Jefferson","LAR","3.4","47.8","0.2","0.0","0.2","0.0","0.0","7.6"
"Adam Thielen","MIN","3.7","44.2","0.2","0.0","0.1","0.0","0.0","7.6"
"George Pickens","PIT","3.4","46.6","0.2","0.4","1.8","0.0","0.0","7.6"
"DJ Chark Jr.","DET","3.1","47.9","0.2","0.0","0.0","0.0","0.0","7.6"
"Curtis Samuel","WAS","3.3","35.6","0.1","2.1","11.2","0.1","0.0","7.4"
"Donovan Peoples-Jones","CLE","3.4","46.0","0.2","0.0","0.0","0.0","0.0","7.3"
"Tutu Atwell","LAR","3.0","40.2","0.2","0.9","5.5","0.0","0.0","7.2"
"Michael Gallup","DAL","3.2","40.2","0.2","0.0","0.1","0.0","0.0","7.0"
"Corey Davis","NYJ","3.0","42.8","0.2","0.0","0.0","0.0","0.0","6.7"
"K.J. Osborn","MIN","3.1","37.6","0.2","0.2","1.0","0.0","0.0","6.5"
"Chris Moore","HOU","3.3","39.2","0.2","0.0","0.3","0.0","0.0","6.5"
"Richie James Jr.","NYG","3.4","38.4","0.1","0.0","0.2","0.0","0.0","6.4"
"Tyler Boyd","CIN","3.2","36.4","0.2","0.1","0.2","0.0","0.0","6.3"
"Parris Campbell","IND","3.1","35.8","0.1","0.2","2.6","0.0","0.0","6.2"
"Russell Gage","TB","3.2","34.6","0.2","0.0","0.0","0.0","0.0","6.1"
"Marvin Jones Jr.","JAC","2.9","36.2","0.2","0.0","0.1","0.0","0.0","6.1"
"Robert Woods","TEN","3.4","36.7","0.1","0.0","0.2","0.0","0.0","6.0"
"Demarcus Robinson","BAL","3.1","36.2","0.1","0.0","0.0","0.0","0.0","5.9"
"Mack Hollins","LV","2.8","32.9","0.2","0.3","1.3","0.0","0.0","5.8"
