"Player Name","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","fpts"
"Kyren Williams","LAR","2.9","13.2","0.1","0.7","5.5","0.0","0.0","2.6"
"David Johnson","NO","2.8","11.9","0.0","0.8","5.7","0.0","0.0","2.5"
"Hassan Haskins","TEN","1.2","6.5","0.0","1.1","8.6","0.0","0.0","2.4"
"Jake Funk","IND","3.1","10.8","0.1","0.7","5.1","0.0","0.0","2.4"
"Ronald Jones II","KC","0.0","13.5","0.1","0.4","1.5","0.0","0.0","2.3"
"Darrynton Evans","CHI","0.0","11.9","0.1","0.4","3.1","0.0","0.0","2.3"
"Boston Scott","PHI","2.9","11.5","0.1","0.4","2.3","0.0","0.0","2.2"
"Malik Davis","DAL","3.4","11.0","0.1","0.5","3.4","0.0","0.0","2.2"
"Snoop Conner","JAC","0.0","12.7","0.1","0.4","1.8","0.0","0.0","2.2"
"Jordan Mason","SF","3.6","14.8","0.1","0.1","0.7","0.0","0.0","2.1"
"Zamir White","LV","3.7","15.2","0.1","0.0","0.0","0.0","0.0","2.1"
"Salvon Ahmed","MIA","0.0","13.6","0.1","0.2","0.7","0.0","0.0","2.1"
"Ameer Abdullah","LV","0.3","1.7","0.0","1.4","9.3","0.0","0.0","2.1"
"Julius Chestnut","TEN","2.6","9.9","0.1","0.5","2.8","0.0","0.0","2.0"
"Raheem Blackshear","CAR","1.1","6.0","0.1","0.8","5.4","0.0","0.0","2.0"
"Pierre Strong Jr.","NE","0.0","8.0","0.1","0.5","3.4","0.0","0.0","1.9"
"Nyheim Hines","BUF","0.8","3.5","0.0","0.9","7.2","0.0","0.0","1.9"
"Giovani Bernard","TB","1.7","6.6","0.0","0.7","4.9","0.0","0.0","1.9"
"Larry Rountree III","LAC","0.0","11.7","0.1","0.3","1.0","0.0","0.0","1.8"
"Patrick Taylor Jr.","GB","0.0","8.1","0.1","0.3","1.8","0.0","0.0","1.8"
"Andrew Beck","DEN","0.0","0.0","0.0","1.1","8.8","0.1","0.0","1.8"
"Kyle Juszczyk","SF","0.2","0.6","0.0","1.0","9.2","0.0","0.0","1.8"
"Eno Benjamin","NO","2.1","7.7","0.1","0.5","3.5","0.0","0.0","1.8"
"Benny Snell Jr.","PIT","2.2","10.8","0.1","0.2","1.0","0.0","0.0","1.7"
"Craig Reynolds","DET","4.0","17.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Alec Ingold","MIA","0.3","0.7","0.0","1.0","7.4","0.1","0.0","1.7"
"Isaiah Spiller","LAC","1.3","5.5","0.0","0.6","4.1","0.0","0.0","1.6"
"Demetric Felton Jr.","CLE","0.0","4.1","0.0","0.8","4.8","0.0","0.0","1.6"
"Brandon Bolden","LV","2.9","10.1","0.0","0.2","2.5","0.0","0.0","1.6"
"Tyrion Davis-Price","SF","2.5","10.7","0.1","0.1","0.4","0.0","0.0","1.5"
