Player Name,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,fpts
Brian Hoyer NE,18.1,11,138,0.6,0.7,2.6,4.3,0.1,0.1,7.5
Chad Henne KC,16.6,10.5,126.4,0.6,0.2,1.9,2.9,0,0,7.3
Drew Stanton CLE,18,10.7,140.8,0.6,0.8,1.8,6.5,0,0,7.2
DeShone Kizer GB,18.4,10.9,132.8,0.5,0.7,1.9,8,0.1,0.1,7
Mike Glennon OAK,19.2,12.3,142.3,0.7,0.5,1.6,1.6,0,0.5,6.5
AJ McCarron HOU,15.2,9.6,110,0.7,0.4,1.7,2.8,0,0.1,6.3
Matt Schaub ATL,16,10.1,101.5,0.5,0.3,1.2,3.1,0,0.1,5.8
Sean Mannion MIN,13.6,8.3,92.5,0.3,0.1,2.3,4.6,0.1,0.1,5.2
Tom Savage DET,11.6,7.2,76.9,0.5,0.4,1.4,2.2,0,0.6,3.3
Josh Johnson DET,7.4,4.2,45.5,0.2,0.3,1.2,5.3,0,0,2.8
Cody Kessler PHI,2.4,1.5,16.3,0.1,0,0.2,0.9,0,0.1,1.1
Garrett Gilbert CLE,0,0,0,0,0,0,0,0,0,0
Geno Smith SEA,0,0,0,0,0,0,0,0,0,0
Tyler Bray CHI,0,0,0,0,0,0,0,0,0,0
Kyle Allen CAR,0,0,0,0,0,0,0,0,0,0
Chad Kelly IND,0,0,0,0,0,0,0,0,0,0
Cardale Jones LAC,0,0,0,0,0,0,0,0,0,0
Jake Rudock MIA,0,0,0,0,0,0,0,0,0,0
Joe Webb HOU,0,0,0,0,0,0,0,0,0,0
Kevin Hogan DEN,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta NYG,0,0,0,0,0,0,0,0,0,0
Alex Tanney NYG,0,0,0,0,0,0,0,0,0,0
Nathan Peterman OAK,0,0,0,0,0,0,0,0,0,0
Danny Etling ATL,0,0,0,0,0,0,0,0,0,0
Brandon Allen LAR,0,0,0,0,0,0,0,0,0,0
Tanner Lee JAC,0,0,0,0,0,0,0,0,0,0
Ryan Griffin TB,0,0,0,0,0,0,0,0,0,0
Nick Fitzgerald TB,0,0,0,0,0,0,0,0,0,0
Mason Rudolph PIT,0,0,0,0,0,0,0,0,0,0
Brett Rypien DEN,0,0,0,0,0,0,0,0,0,0
Tyree Jackson BUF,0,0,0,0,0,0,0,0,0,0
Easton Stick LAC,0,0,0,0,0,0,0,0,0,0
David Fales DET,0,0,0,0,0,0,0,0,0,0
Clayton Thorson PHI,0,0,0,0,0,0,0,0,0,0
Trace McSorley BAL,0,0,0,0,0,5.4,27.2,0.2,0,0
Davis Webb NYJ,0,0,0,0,0,0,0,0,0,0
Logan Woodside TEN,0,0,0,0,0,0,0,0,0,0
Mike White DAL,0,0,0,0,0,0,0,0,0,0
Alex McGough JAC,0,0,0,0,0,0,0,0,0,0
Tim Boyle GB,0,0,0,0,0,0,0,0,0,0
Luke Falk NYJ,0,0,0,0,0,0,0,0,0,0
Kyle Sloter MIN,0,0,0,0,0,0,0,0,0,0
Joe Callahan BAL,0,0,0,0,0,0,0,0,0,0
