Player Name,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Zach Zenner DET,36.4,210.2,1.7,10.2,78.7,0.2,0.2,40.2
Ty Montgomery NYJ,49.7,162.1,1.2,16.7,137.4,0.6,0.8,39
T.J. Yeldon BUF,41.3,159,0.8,17.3,146.4,0.5,0.2,38.2
Andre Ellington TB,28.4,108.7,1.1,23.3,197.1,0.3,0.6,37.3
Theo Riddick DEN,22.6,119.8,0.6,25.3,182.8,0.6,0.1,37
Dontrell Hilliard CLE,37.9,136.2,0.9,17.5,162.5,0.5,0.5,37
Jacquizz Rodgers NO,23.2,105.2,0.6,19.6,167.6,0.8,0,36
Wayne Gallman NYG,53.5,209.9,1.3,11.3,80,0.1,0.9,35.6
Ryquell Armstead JAC,45.1,177.9,1.2,9.8,80.4,0.3,0.3,34.3
Wendell Smallwood PHI,13.5,160.8,1,11.7,98,0.4,0.3,34.1
Malcolm Brown LAR,48.4,198.9,1.5,7.5,50.5,0.2,0.3,34.1
Cameron Artis-Payne CAR,45.4,203.9,1.5,5.3,41.3,0.1,0.4,33.5
Brandon Bolden NE,15.5,111.3,3.3,1.9,21.6,0.2,1,31.9
Brian Hill ATL,37.6,187.6,1.3,6.9,45.9,0.2,0.5,31.2
D'Onta Foreman IND,40.2,171.8,1.2,5.7,51.6,0.3,0,31.2
J.D. McKissic SEA,28.3,107.9,0.6,13.5,107.9,1,0.4,30.7
Myles Gaskin MIA,29.4,141.7,0.8,11.5,90,0.4,0.2,30.1
Reggie Bonnafon CAR,0,132.1,0.9,10.3,79.4,0.4,0.2,28.7
Dexter Williams GB,39.1,155.7,1.1,7.5,55.3,0.2,0.3,28.6
Kyle Juszczyk SF,7.2,26.6,0.3,22.3,204,0.8,0.8,28.3
Spencer Ware IND,20,116.4,0.9,10,77.4,0.6,0.3,27.6
Jordan Wilkins IND,42.1,200,1.2,5.1,33.8,0.2,2.1,27.1
Josh Ferguson HOU,37.6,158.5,1.1,4.4,38,0.1,0.6,25.9
Damarea Crockett HOU,35.1,145.8,0.9,6.5,48.8,0.1,0,25.4
Kenneth Dixon BAL,26.6,120.9,0.9,6,63.8,0.3,0,25.3
Benny Snell Jr. PIT,36.2,142.2,0.9,6.2,55.1,0.2,0.6,24.8
Darren Sproles PHI,25.6,88.9,0.4,13.4,113.6,0.5,0.4,24.8
Devontae Booker DEN,29.5,119.3,0.6,11.3,93.6,0.2,0.7,24.8
Alfred Morris DAL,30.3,153.3,0.9,5.4,39.5,0.1,0.4,24.5
Qadree Ollison ATL,32.5,128.8,0.9,4.3,34.6,0.2,0.2,22.7
Thomas Rawls JAC,18.8,74.5,0.3,12.8,112.6,0.4,0.1,22.6
C.J. Prosise SEA,16.7,58.6,0,16,116.7,0.8,0,22.5
Darrel Williams KC,24.1,76.7,0.8,6.2,58.5,0.6,0.4,21.3
Ty Johnson DET,16.4,68.4,0.5,10,75.9,0.4,0.1,19.5
Rod Smith NYG,18.4,96.9,0.8,5.6,38.6,0.2,0.1,19.1
Darius Jackson DAL,23.4,85.8,0.6,9.4,62.6,0.1,0,19
Travis Homer SEA,22,100.2,0.6,3.2,29.3,0.1,0,17.1
Paul Perkins NYG,23.6,92.6,0.6,5.2,35.4,0.1,0,17.1
Dwayne Washington NO,25.4,105.6,0.6,2.9,20.7,0.1,0.1,16.5
Trey Edmunds PIT,16.4,67.6,1.1,3,21.6,0,0,15.9
Josh Adams PHI,23.6,85.1,0.6,3.9,25.4,0.1,0,15.4
Mark Walton MIA,22.7,91.7,0.4,4.5,31.1,0.1,0.2,15.2
Ameer Abdullah MIN,17,54.1,0.3,7.4,60.6,0.4,0.1,15.1
Jordan Scarlett CAR,27.5,75.6,0.5,4.8,34,0.1,0.1,14.5
James Develin NE,6.1,22.2,1.1,7.1,47,0.2,0,14.4
Trayveon Williams CIN,13.6,81.4,0.4,4.3,33,0.1,0.1,14.4
Jeff Wilson SF,21.6,78,0.5,3,25.1,0.1,0,14.3
Anthony Sherman KC,6.7,19.5,0.2,7,71.3,0.7,0,14.2
Justin Davis LAR,18.2,102.4,0.5,0.7,4.1,0,0,13.6
Bruce Anderson TB,14.6,60.3,0.4,4.4,33.4,0.2,0.1,12.6
Mike Boone MIN,19.2,75.4,0.6,2.7,15.7,0,0.1,12.5
Raheem Mostert SF,14.8,88.7,0.5,1.5,6.3,0,0,12.5
DeAndre Washington OAK,17.6,64.8,0.4,3,27.5,0.1,0,12
Trenton Cannon NYJ,15.2,57.3,0.3,5.8,42.2,0.1,0.1,12
Detrez Newsome LAC,6.9,30.2,0.3,4.5,49.3,0.4,0,11.7
Alex Armah CAR,18.4,53.3,0.4,3.3,28.9,0.2,0,11.6
Samaje Perine WAS,9.9,44.7,0.4,2.4,35.6,0.1,0,11
Zach Line NO,7.1,32.2,0.4,4.3,33.4,0.3,0.1,10.4
Tra Carson GB,8.6,33.8,0.4,3.2,27.3,0.4,0,10.4
John Kelly LAR,12.1,43.5,0.3,2.7,28.9,0.2,0,9.9
Bryce Love WAS,8.1,32.5,0.2,5.3,42.8,0.2,0.1,9.6
Troymaine Pope LAC,8.3,29.7,0.2,4.6,44.2,0.2,0,9.6
Elijhaa Penny NYG,6.3,24.7,0.2,5.5,45.1,0.2,0.1,8.9
Patrick Ricard BAL,7.6,32.7,0.2,4.2,39.1,0.1,0,8.9
Boston Scott PHI,7.4,27.5,0.2,4,39.6,0.2,0,8.7
Dare Ogunbowale TB,8,29.7,0.1,6,39.2,0.2,0,8.6
Tremon Smith KC,7.9,29.9,0.2,4,33.7,0.2,0,8.6
Kenneth Farrow MIA,7.4,31,0.1,4.5,41,0.1,0,8.5
T.J. Logan ARI,9.6,27.8,0.2,4.9,33.7,0.2,0.1,8.1
Shaun Wilson WAS,8.5,37.2,0.3,2.9,23.3,0,0,8
D.J. Foster ARI,9.1,35.8,0.1,5.1,26.4,0.2,0,7.9
CJ Ham MIN,10.9,28,0.2,4.4,30.9,0.1,0.1,7.9
Nick Bellore SEA,9.9,17.3,0.1,5.8,43.6,0.2,0,7.9
Tyler Ervin BAL,5.7,25,0.2,3.6,40.7,0,0,7.8
David Fluellen TEN,4.5,35.3,0.2,2.8,23.3,0.1,0.1,7.8
Andy Janovich DEN,2.6,9.5,0.1,5.4,39.9,0.3,0,7.2
